N: 500,0	L: 	Density:0,8	Noise: 4,6
Time	 Va	
0,0	0,06073857268235675
1,0	0,02499084888848597
2,0	0,018133838243259176
3,0	0,04900611482705548
4,0	0,03491837452349518
5,0	0,03166161180572871
6,0	0,042232770234796935
7,0	0,07109489793533544
8,0	0,033966780489501885
9,0	0,04766239301582806
10,0	0,04460251695631375
11,0	0,02791824784109903
12,0	0,08937915839027773
13,0	0,026395945670143587
14,0	0,06868359472944537
15,0	0,022351336852219784
16,0	0,03523686255108031
17,0	0,01887783841110842
18,0	0,03695108808141369
19,0	0,066617188720694
20,0	0,021464875788578718
21,0	0,04098867545244235
22,0	0,041683912704890545
23,0	0,08397903491375468
24,0	0,07667749151315775
25,0	0,07160616239858357
26,0	0,021946307114573467
27,0	0,09349789773027846
28,0	0,05699915830938795
29,0	0,019500135915353746
30,0	0,024634874316866517
31,0	0,013534883644019325
32,0	0,037887221972339805
33,0	0,0726881170872214
34,0	0,02069757050977824
35,0	0,08039676439977754
36,0	0,07325574072643945
37,0	0,056991408370519046
38,0	0,047619455130747675
39,0	0,03415099654101798
40,0	0,014764447745109398
41,0	0,021634427011682136
42,0	0,042406657761856724
43,0	0,04689452152192637
44,0	0,04295599143335825
45,0	0,007932844746463535
46,0	0,03529392144010484
47,0	0,03963462561794735
48,0	0,06105790599450452
49,0	0,0834240589555316
50,0	0,0845153837402007
51,0	0,048842307814579565
52,0	0,06460984038572276
53,0	0,10245188187130173
54,0	0,026942883095300848
55,0	0,05078643748346276
56,0	0,09161862749367698
57,0	0,061420513931907894
58,0	0,08755099858024754
59,0	0,08257762238584875
60,0	0,0671239697070995
61,0	0,08622973757919784
62,0	0,04481222637457483
63,0	0,09953801590336225
64,0	0,04637702874084814
65,0	0,042377585643534464
66,0	0,027587852652318095
67,0	0,034335568243046906
68,0	0,02957893565869181
69,0	0,057395047161087655
70,0	0,14195142193610855
71,0	0,12371216612467106
72,0	0,0536216791480716
73,0	0,03310500701641555
74,0	0,04895881269737976
75,0	0,05681140982285398
76,0	0,021157653344784415
77,0	0,046470223021422515
78,0	0,07621019771027959
79,0	0,049965138352304025
80,0	0,04107406586535875
81,0	0,04742605832493311
82,0	0,06305536425049667
83,0	0,03892027396097823
84,0	0,06847808879172106
85,0	0,025875797797742444
86,0	0,02494233099832596
87,0	0,044074700546264535
88,0	0,06889332776052577
89,0	0,08065644837498388
90,0	0,10871892480752253
91,0	0,04474198711476514
92,0	0,05370481342261345
93,0	0,0574253130680819
94,0	0,045573181232683765
95,0	0,10557228772980976
96,0	0,07453987721759074
97,0	0,04977987685774153
98,0	0,022724727506775837
99,0	0,075790799257718
100,0	0,02943218135173718
101,0	0,07269604306518129
102,0	0,025195793297653014
103,0	0,08505464481290059
104,0	0,03344560092813882
105,0	0,06719745720137611
106,0	0,09824449005078785
107,0	0,08414450800510193
108,0	0,0396625377240171
109,0	0,03788617830856926
110,0	0,010010542420176804
111,0	0,05031936292048977
112,0	0,04043731913223883
113,0	0,06100992502744315
114,0	0,08045233250782323
115,0	0,06918425422705923
116,0	0,0755789487115663
117,0	0,0386881225841394
118,0	0,04638173413715607
119,0	0,03273435924659484
120,0	0,026236816646765845
121,0	0,04589182260026087
122,0	0,06442258880544512
123,0	0,08874731543869864
124,0	0,08001469339226353
125,0	0,033991566706070245
126,0	0,05924451510039783
127,0	0,020254317266788422
128,0	0,04459637222998068
129,0	0,043707503953897574
130,0	0,12552082407657122
131,0	0,08343101230324729
132,0	0,03829712555516008
133,0	0,07171090723439925
134,0	0,018306677866951768
135,0	0,02723103712574251
136,0	0,0996979960575505
137,0	0,0367690151240286
138,0	0,0214938730246104
139,0	0,08738671878183389
140,0	0,0861267798345297
141,0	0,04013384336207547
142,0	0,06833626900492193
143,0	0,0761418740851422
144,0	0,1071893220969131
145,0	0,11604383633373722
146,0	0,057813097180447685
147,0	0,041284958379676266
148,0	0,05068201651246136
149,0	0,04498862810619491
150,0	0,03339578361184359
151,0	0,07466748082198817
152,0	0,05940816114535226
153,0	0,053346187355222306
154,0	0,04215520480292124
155,0	0,06082923801061967
156,0	0,04770675409952611
157,0	0,03618334154249813
158,0	0,030665646258097628
159,0	0,03760541019787588
160,0	0,008709622334382132
161,0	0,02127619209174168
162,0	0,02768553358621534
163,0	0,04301098849982496
164,0	0,05777616079373222
165,0	0,04530695456002861
166,0	0,0684318795054572
167,0	0,034918655124931156
168,0	0,08079700422374808
169,0	0,08151394060738261
170,0	0,0979166329872993
171,0	0,05979273396385113
172,0	0,024381309572179634
173,0	0,060490677741001225
174,0	0,1011360800564792
175,0	0,10640663940048188
176,0	0,0921844258132294
177,0	0,028786035244255805
178,0	0,03914448124452934
179,0	0,05552537010216537
180,0	0,024764518187345014
181,0	0,02703132177466935
182,0	0,0543285429098026
183,0	0,014448117622925123
184,0	0,07497618829326626
185,0	0,05167057456595794
186,0	0,05876702339176789
187,0	0,06725066238213884
188,0	0,05525963847033388
189,0	0,06149285022772324
190,0	0,005795786597330666
191,0	0,030285328993520377
192,0	0,03987638634351072
193,0	0,0703476074814778
194,0	0,05477105601188608
195,0	0,023099850053860806
196,0	0,023200793563145194
197,0	0,07038945366730585
198,0	0,038869392564010924
199,0	0,06978708582510997
200,0	0,09097460173009243
201,0	0,06279610397768115
202,0	0,012541277466938797
203,0	0,04978871197677106
204,0	0,08043013573013628
205,0	0,06415622400478524
206,0	0,018840981732331695
207,0	0,014918816739120983
208,0	0,057803257179879414
209,0	0,08705180851459213
210,0	0,10426468737676403
211,0	0,07003771235152137
